bedrooms,bathrooms,area,lot_area,tax_value,year_built,fips
4.0,3.0,3105.0,7140.0,514262.0,1986.0,6059.0
3.0,1.0,1010.0,6245.0,144398.0,1950.0,6037.0
3.0,1.0,1154.0,7035.0,45731.0,1947.0,6037.0
3.0,2.0,1546.0,6630.0,154605.0,1973.0,6111.0
3.0,1.0,940.0,6080.0,436455.0,1957.0,6059.0
3.0,2.0,1284.0,8013.0,485000.0,1961.0,6037.0
3.0,2.0,1830.0,7502.0,100948.0,1951.0,6037.0
4.0,3.0,1971.0,6127.0,380433.0,1942.0,6037.0
3.0,2.0,1875.0,8550.0,346464.0,1977.0,6111.0
3.0,2.0,1252.0,5834.0,331061.0,1954.0,6037.0
2.0,2.0,1696.0,6000.0,727934.0,1983.0,6059.0
3.0,2.0,1999.0,12175.0,247327.0,1959.0,6037.0
3.0,3.0,1786.0,6069.0,423696.0,1924.0,6037.0
4.0,3.0,2216.0,6396.0,279649.0,1985.0,6111.0
3.0,2.0,1309.0,7000.0,261072.0,1963.0,6059.0
2.0,1.0,716.0,2320.0,213948.0,1922.0,6037.0
4.0,3.0,2026.0,5830.0,382639.0,1999.0,6111.0
5.0,3.0,2269.0,6100.0,378632.0,1978.0,6059.0
4.0,2.0,1542.0,6032.0,678000.0,1955.0,6037.0
4.0,2.0,1308.0,5002.0,189512.0,1944.0,6037.0
3.0,2.0,1630.0,5633.0,583042.0,1950.0,6037.0
3.0,3.0,1929.0,7667.0,367815.0,1964.0,6037.0
3.0,2.0,1581.0,12036.0,58766.0,1952.0,6037.0
3.0,2.0,1623.0,6053.0,668000.0,1976.0,6037.0
4.0,3.0,2383.0,20592.0,251859.0,1981.0,6037.0
3.0,2.0,1375.0,7996.0,486699.0,1953.0,6037.0
4.0,3.0,2039.0,7713.0,318420.0,1953.0,6037.0
3.0,1.5,1106.0,6240.0,211868.0,1954.0,6059.0
4.0,3.0,1810.0,4619.0,403646.0,1973.0,6037.0
2.0,1.0,976.0,6200.0,573615.0,1947.0,6037.0
2.0,1.0,900.0,6250.0,177984.0,1923.0,6059.0
4.0,2.0,1922.0,10712.0,571105.0,1960.0,6059.0
