bedrooms,bathrooms,area,lot_area,tax_value,year_built,fips,date_sold
3.0,2.0,1233.0,7509.0,169168.0,1948.0,6037.0,2017-05-08
3.0,1.0,1000.0,5027.0,226779.0,1970.0,6037.0,2017-03-29
3.0,3.0,2257.0,5500.0,588845.0,1983.0,6059.0,2017-02-23
3.0,2.0,1256.0,4976.0,248318.0,1949.0,6037.0,2017-05-24
4.0,2.0,1876.0,4832.0,118031.0,1965.0,6037.0,2017-05-19
3.0,2.0,1442.0,7354.0,190201.0,1958.0,6037.0,2017-02-13
4.0,2.0,1612.0,6014.0,486718.0,1956.0,6037.0,2017-08-18
4.0,3.0,2393.0,7021.0,484187.0,1940.0,6037.0,2017-03-21
3.0,1.0,1254.0,3426.0,108760.0,1955.0,6037.0,2017-06-30
3.0,3.0,2596.0,20602.0,798000.0,1963.0,6037.0,2017-02-10
4.0,3.0,2498.0,9375.0,606978.0,1987.0,6059.0,2017-06-01
3.0,2.0,1489.0,5609.0,128383.0,1984.0,6037.0,2017-07-31
2.0,1.0,1011.0,7365.0,203521.0,1950.0,6037.0,2017-06-26
3.0,1.0,1383.0,5657.0,314914.0,1951.0,6037.0,2017-02-01
5.0,3.0,1972.0,7514.0,117200.0,1956.0,6037.0,2017-06-16
5.0,4.0,3113.0,10013.0,770000.0,2004.0,6111.0,2017-04-21
4.0,4.0,3054.0,5013.0,940109.0,2003.0,6059.0,2017-06-05
3.0,3.0,2680.0,15182.0,750995.0,1975.0,6037.0,2017-02-10
4.0,2.0,1176.0,6308.0,300251.0,1956.0,6037.0,2017-05-23
4.0,2.0,1665.0,8162.0,69691.0,1959.0,6037.0,2017-02-13
4.0,3.0,1912.0,5769.0,830000.0,1956.0,6037.0,2017-08-18
4.0,3.0,2271.0,6747.0,413054.0,1927.0,6037.0,2017-08-11
3.0,1.0,1424.0,7832.0,737092.0,1913.0,6037.0,2017-09-08
3.0,2.0,1320.0,6300.0,476657.0,1969.0,6059.0,2017-06-01
3.0,2.0,1312.0,6506.0,370433.0,1940.0,6037.0,2017-03-30
3.0,2.0,1439.0,6243.0,350557.0,1953.0,6037.0,2017-07-27
4.0,3.0,3005.0,9666.0,693000.0,1989.0,6111.0,2017-04-27
4.0,3.0,2370.0,10437.0,458236.0,1961.0,6059.0,2017-08-25
3.0,1.0,1128.0,7450.0,360125.0,1912.0,6037.0,2017-06-27
4.0,4.0,3037.0,11091.0,206823.0,1941.0,6037.0,2017-01-27
4.0,3.0,3040.0,16224.0,640688.0,1965.0,6037.0,2017-08-24
3.0,1.0,1145.0,6093.0,313851.0,1952.0,6037.0,2017-08-21
3.0,2.0,1416.0,8835.0,63119.0,1960.0,6037.0,2017-01-12
4.0,2.0,1380.0,6283.0,218937.0,1964.0,6037.0,2017-06-16
4.0,3.0,1968.0,3658.0,549916.0,1990.0,6059.0,2017-02-24
4.0,2.0,1676.0,8584.0,462318.0,1964.0,6037.0,2017-07-28
4.0,3.0,2152.0,19114.0,366171.0,1988.0,6037.0,2017-07-07
3.0,2.0,1535.0,4684.0,488816.0,1978.0,6037.0,2017-01-25
4.0,2.5,2528.0,4823.0,434994.0,1989.0,6111.0,2017-06-12
3.0,1.0,1214.0,5979.0,218499.0,1951.0,6037.0,2017-09-13
4.0,3.0,2745.0,10182.0,470545.0,1973.0,6059.0,2017-02-16
3.0,2.0,1390.0,7999.0,78419.0,1955.0,6037.0,2017-02-13
3.0,2.0,1237.0,5694.0,86247.0,1960.0,6037.0,2017-08-24
3.0,2.0,1643.0,5000.0,149362.0,1951.0,6037.0,2017-03-22
4.0,2.0,1303.0,6993.0,225252.0,1955.0,6059.0,2017-04-11
3.0,2.0,1574.0,5996.0,160608.0,1971.0,6037.0,2017-05-17
3.0,2.0,1552.0,8845.0,296463.0,1980.0,6037.0,2017-05-23
2.0,1.0,852.0,4868.0,177190.0,1929.0,6037.0,2017-02-01
3.0,1.0,1060.0,4821.0,30603.0,1909.0,6037.0,2017-09-08
4.0,3.0,1906.0,9350.0,102056.0,1964.0,6037.0,2017-08-21
5.0,3.0,1781.0,5200.0,514000.0,1972.0,6111.0,2017-04-28
3.0,2.0,1814.0,6834.0,760000.0,1948.0,6037.0,2017-09-13
4.0,3.0,2459.0,8532.0,215944.0,1978.0,6037.0,2017-02-16
2.0,1.0,1068.0,6198.0,250192.0,1922.0,6037.0,2017-03-29
3.0,2.0,1102.0,4997.0,579007.0,1970.0,6037.0,2017-02-02
3.0,2.0,1298.0,8430.0,241485.0,1955.0,6059.0,2017-05-26
4.0,3.0,3319.0,10687.0,750568.0,2002.0,6037.0,2017-04-21
4.0,2.5,2089.0,4200.0,331567.0,1990.0,6059.0,2017-06-01
4.0,3.0,2354.0,5319.0,87645.0,1928.0,6037.0,2017-05-09
5.0,2.0,2450.0,11255.0,179169.0,1963.0,6037.0,2017-01-12
2.0,1.0,753.0,43721.0,209056.0,1951.0,6037.0,2017-06-16
4.0,3.0,3370.0,6611.0,343680.0,1993.0,6037.0,2017-01-13
3.0,4.0,3064.0,4407.0,713801.0,2001.0,6059.0,2017-07-19
3.0,2.0,1758.0,7000.0,580142.0,1926.0,6037.0,2017-05-10
3.0,2.0,1306.0,6664.0,205017.0,1957.0,6059.0,2017-02-20
4.0,3.0,2614.0,5353.0,386277.0,1987.0,6059.0,2017-04-18
4.0,1.0,1155.0,9021.0,132262.0,1947.0,6037.0,2017-05-25
2.0,1.0,1196.0,6231.0,243334.0,1953.0,6037.0,2017-04-05
3.0,2.0,1834.0,7729.0,525000.0,1955.0,6037.0,2017-02-14
3.0,2.0,1418.0,6100.0,472000.0,1955.0,6059.0,2017-08-24
4.0,3.5,2922.0,2938.0,439148.0,2002.0,6059.0,2017-06-06
3.0,2.0,1204.0,6097.0,346135.0,1944.0,6037.0,2017-08-03
2.0,1.0,1136.0,6143.0,524856.0,1941.0,6037.0,2017-03-28
4.0,2.0,1891.0,7095.0,292675.0,1976.0,6111.0,2017-04-28
3.0,3.0,2437.0,18872.0,539525.0,1976.0,6037.0,2017-07-27
4.0,2.0,2067.0,5600.0,200858.0,1967.0,6037.0,2017-01-10
5.0,3.0,3133.0,6839.0,505832.0,2005.0,6037.0,2017-07-19
3.0,2.5,2640.0,6229.0,852524.0,2008.0,6059.0,2017-09-06
4.0,2.0,1588.0,4902.0,266490.0,1969.0,6111.0,2017-04-27
3.0,2.0,1351.0,6113.0,710000.0,1949.0,6037.0,2017-01-10
4.0,3.0,2282.0,10620.0,761101.0,1994.0,6037.0,2017-05-23
3.0,2.0,1315.0,5943.0,741132.0,1926.0,6037.0,2017-06-15
2.0,1.0,768.0,5309.0,166435.0,1950.0,6037.0,2017-01-31
4.0,2.0,1922.0,10657.0,279367.0,1964.0,6037.0,2017-07-05
3.0,1.5,1583.0,8946.0,62034.0,1954.0,6059.0,2017-08-25
4.0,2.0,1221.0,7653.0,285955.0,1922.0,6037.0,2017-06-23
3.0,2.0,1995.0,12819.0,630540.0,1962.0,6037.0,2017-06-16
2.0,1.0,752.0,9809.0,348018.0,1938.0,6037.0,2017-04-05
3.0,2.0,1680.0,5303.0,473886.0,1952.0,6037.0,2017-03-15
2.0,1.0,991.0,8698.0,846861.0,1912.0,6037.0,2017-06-15
4.0,2.0,1820.0,6657.0,234570.0,1914.0,6037.0,2017-08-08
2.0,1.0,1049.0,5167.0,38054.0,1941.0,6037.0,2017-08-07
2.0,2.0,1317.0,6358.0,936808.0,1953.0,6037.0,2017-08-10
2.0,2.5,1207.0,1625.0,445000.0,1984.0,6059.0,2017-08-30
3.0,2.0,1492.0,6923.0,228637.0,1950.0,6037.0,2017-08-18
4.0,2.0,1638.0,7533.0,476000.0,1964.0,6111.0,2017-01-05
4.0,3.0,2229.0,7507.0,403019.0,1973.0,6037.0,2017-09-19
3.0,2.0,1742.0,6220.0,72640.0,1941.0,6037.0,2017-09-14
4.0,1.5,1226.0,10282.0,206344.0,1962.0,6111.0,2017-07-26
5.0,2.5,2781.0,12600.0,144718.0,1964.0,6059.0,2017-06-01
4.0,2.0,1161.0,6147.0,294403.0,1955.0,6037.0,2017-04-07
2.0,1.0,1003.0,4898.0,355060.0,1928.0,6037.0,2017-06-29
3.0,2.0,1621.0,6531.0,447064.0,1967.0,6037.0,2017-05-04
3.0,2.0,1976.0,11157.0,268145.0,1956.0,6037.0,2017-09-15
4.0,2.0,1196.0,6592.0,108475.0,1955.0,6037.0,2017-01-16
4.0,2.5,1739.0,6050.0,699000.0,1989.0,6059.0,2017-07-14
4.0,2.5,1825.0,2737.0,363116.0,2001.0,6111.0,2017-03-01
4.0,2.0,1292.0,6000.0,671000.0,1964.0,6059.0,2017-07-11
4.0,2.0,1955.0,8900.0,55826.0,1955.0,6111.0,2017-03-09
4.0,2.5,1904.0,5504.0,311711.0,1978.0,6059.0,2017-06-01
3.0,1.0,964.0,8645.0,35574.0,1960.0,6037.0,2017-02-16
2.0,1.0,884.0,4862.0,176682.0,1925.0,6037.0,2017-08-17
2.0,2.0,1162.0,5349.0,283500.0,1927.0,6037.0,2017-03-29
3.0,2.0,1173.0,6204.0,51476.0,1955.0,6059.0,2017-05-31
2.0,2.0,1242.0,5400.0,168790.0,1971.0,6059.0,2017-03-06
5.0,3.0,2291.0,7814.0,137966.0,1949.0,6037.0,2017-05-23
3.0,2.0,1205.0,6017.0,290000.0,1932.0,6037.0,2017-05-05
2.0,1.0,1230.0,5171.0,426645.0,1942.0,6037.0,2017-03-24
3.0,2.0,1528.0,5137.0,181217.0,1989.0,6037.0,2017-05-04
2.0,1.0,1023.0,5614.0,408346.0,1951.0,6037.0,2017-05-05
2.0,1.0,992.0,4800.0,422000.0,1925.0,6037.0,2017-03-24
3.0,2.0,2087.0,8100.0,782086.0,1949.0,6037.0,2017-03-22
2.0,1.0,846.0,9989.0,28532.0,1921.0,6037.0,2017-06-23
3.0,1.0,1034.0,7359.0,520000.0,1954.0,6059.0,2017-04-17
4.0,3.0,2163.0,8140.0,296734.0,1977.0,6037.0,2017-02-16
2.0,2.0,1751.0,6355.0,427988.0,1938.0,6037.0,2017-05-18
4.0,2.0,2007.0,19950.0,415484.0,1970.0,6059.0,2017-02-23
3.0,3.0,1849.0,9756.0,216540.0,1987.0,6037.0,2017-03-20
3.0,2.0,1346.0,33489.0,103849.0,1986.0,6037.0,2017-03-17
4.0,2.0,1856.0,5800.0,671001.0,1971.0,6059.0,2017-05-30
3.0,2.0,1066.0,7674.0,357568.0,1955.0,6037.0,2017-05-24
4.0,3.0,1581.0,3096.0,177149.0,1988.0,6037.0,2017-03-30
